window,kind,q,K,D_full_days,B_reps,exhaustive,drho_obs,drho_null_med,b_exceed,p_clock,p_min_attainable
Terra_Luna,shock,0.95,18,4,23,True,0.03330634075667083,-0.0001354833309716863,0,0.041666666666666664,0.041666666666666664
Terra_Luna,shock,0.97,18,4,23,True,0.0167157576160174,-1.5857817411424335e-06,0,0.041666666666666664,0.041666666666666664
FTX_collapse,shock,0.95,18,3,5,True,0.027459160299260876,0.0012945222612590346,0,0.16666666666666666,0.16666666666666666
FTX_collapse,shock,0.97,18,3,5,True,0.0033827227556139094,-0.0002739455444447092,0,0.16666666666666666,0.16666666666666666
Banking_crypto,shock,0.95,18,4,23,True,0.09858452019591923,0.0015274477113488283,0,0.041666666666666664,0.041666666666666664
Banking_crypto,shock,0.97,18,4,23,True,0.09175094441815346,0.0023474151641227348,0,0.041666666666666664,0.041666666666666664
Control_2022_Aug_A,control,0.95,18,3,5,True,0.1513733099789527,0.007879630409000749,0,0.16666666666666666,0.16666666666666666
Control_2022_Aug_A,control,0.97,18,3,5,True,0.12851853980050088,0.00842100787726896,0,0.16666666666666666,0.16666666666666666
Control_2022_Aug_B,control,0.95,18,3,5,True,0.07044480551627819,0.007066139558105866,0,0.16666666666666666,0.16666666666666666
Control_2022_Aug_B,control,0.97,18,3,5,True,0.06603762904464161,0.00914321960887532,0,0.16666666666666666,0.16666666666666666
Control_2022_Oct,control,0.95,18,3,5,True,0.05000076463552594,0.0034332191316630567,0,0.16666666666666666,0.16666666666666666
Control_2022_Oct,control,0.97,18,3,5,True,0.0850250538243763,0.005860986346240216,0,0.16666666666666666,0.16666666666666666
Control_2023_Jan,control,0.95,18,3,5,True,0.14558136203259653,0.0037684058202849258,0,0.16666666666666666,0.16666666666666666
Control_2023_Jan,control,0.97,18,3,5,True,0.18389673177300847,0.0025266560931862525,0,0.16666666666666666,0.16666666666666666
Control_2023_Feb,control,0.95,18,3,5,True,0.0406217302516354,0.004524557213614555,0,0.16666666666666666,0.16666666666666666
Control_2023_Feb,control,0.97,18,3,5,True,0.024853987830586566,0.0017382124905132024,0,0.16666666666666666,0.16666666666666666
