K,T,zeros,sep_med,sep_p90,sep_max,passes,swallow,n
10,3000,82.0,0.5561668083475574,0.6883294614766804,0.7742972297667282,0,25,5
10,6000,82.0,0.5548952595201805,0.582163312033635,0.5889803251619987,0,27,3
10,12000,82.0,0.550729442761149,0.7326281244836753,0.8321125732925644,0,25,5
10,24000,82.0,0.5383706597271859,0.6312760877721224,0.6714172284380066,0,23,7
20,3000,78.0,0.543487509849897,0.6417385106127359,0.7259673489058261,0,49,11
20,6000,78.0,0.5002059617204003,0.5502651307679851,0.5795278842041837,0,51,9
20,12000,78.0,0.5124702064509256,0.5484061327973724,0.6022282355489157,0,51,9
20,24000,78.0,0.5047644107431306,0.5637576790087709,0.5835636166538072,0,51,9
30,3000,78.77777777777779,0.5214858501471684,0.6791434263641541,0.9932837406541712,0,61,29
30,6000,78.77777777777779,0.508343469776566,0.5880222754884109,0.6779857903320674,0,68,22
30,12000,78.77777777777779,0.5115223267581636,0.5380233841817098,0.57708573554254,0,73,17
30,24000,78.77777777777779,0.5121437562330312,0.5521722609231486,0.6005050909408274,0,72,18
