window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,design_id,evidence_class
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,contemporaneous,5,4260,325,65,0.8840974175050056,0.7708260787692112,0.11327133873579442,False,0.8268926499480338,0.706782398323365,0.7004602532200708,2.2643129359328023,0.9848100822118191,0.047619047619047616,False,,0,,0.049911442323851855,0.05215225889953033,0.1518767752378086,0.2520821705367356,0.2705459406262991,1.0,FTX_collapse__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,robust_common_drive_deflation
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,5,4260,325,65,0.8840974175050056,0.7697255840442284,0.11437183346077717,False,0.8350741151578995,0.6790472461131313,0.6723730580365211,2.3848629428003205,0.980718175741912,0.047619047619047616,False,,0,0.5904806249450298,0.03205109674125473,0.0472375804992936,0.1257517893331252,0.22842570311866936,0.2900070106156868,1.0,FTX_collapse__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,robust_common_drive_deflation
FTX_collapse,shock,volatility_burst,0.985,1min,60,10,loo_market_activity,contemporaneous,5,4260,325,65,0.833253526168188,0.6647974070772329,0.16845611909095515,False,0.691071694023734,0.6891371941223039,0.6799358602129602,2.1570275851268113,0.999670474010106,0.047619047619047616,False,,1,1.296811912422269,0.030064218297528526,0.0343890217126937,0.19780014386825,0.3898663062556608,0.414233576316298,1.0,FTX_collapse__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,robust_common_drive_deflation
FTX_collapse,shock,volatility_burst,0.985,1min,60,10,loo_market_activity,lag1,5,4260,325,65,0.833253526168188,0.7153077127035393,0.11794581346464872,False,0.7608262924032334,0.6329906856671046,0.6252911733174604,2.667164529566148,0.9883811870093854,0.047619047619047616,False,,0,0.7311782056702929,0.020636742107324368,0.02552545587816766,0.15339945807597177,0.2630191744471935,0.2679588120649663,1.0,FTX_collapse__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,robust_common_drive_deflation
FTX_collapse,shock,volume_burst,0.985,1min,60,10,btc_eth_reference,contemporaneous,5,4260,325,65,0.8840974175050056,0.7695259173671625,0.11457150013784312,False,0.766624502739373,0.7743326800578174,0.7743326800578174,2.3366762678994584,0.9889474979033369,0.047619047619047616,False,,0,,0.021718782271591634,0.028875266455003858,0.1099466414430052,0.2179918344292256,0.22204588031577502,1.0,FTX_collapse__volume_burst__q0.985__1min__L60__HL10__btc_eth_reference__contemporaneous,robust_common_drive_deflation
Control_2022_Aug_A,control,volume_burst,0.985,1min,60,10,loo_market_activity,contemporaneous,5,4260,323,65,0.889703643961801,0.6752694441511915,0.21443419981060952,False,0.8698141838376038,0.7538334284462409,0.7471040581106418,2.050703706207661,0.9953406329849881,0.047619047619047616,False,,0,,0.13424660906826055,0.14764380645738318,0.233331073973998,0.3486706620560572,0.37635018894707084,1.0,Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,robust_common_drive_deflation
Control_2022_Aug_A,control,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,5,4260,323,65,0.889703643961801,0.7525472264779354,0.13715641748386564,False,0.8864997353452957,0.7239297964390083,0.7088256086624368,2.3358625107051703,0.9865994668926883,0.047619047619047616,False,,0,,0.059428194133533556,0.09020154009388925,0.16648393984032978,0.2802865317754007,0.2971314116449702,1.0,Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,robust_common_drive_deflation
Control_2022_Aug_A,control,volatility_burst,0.985,1min,60,10,loo_market_activity,contemporaneous,5,4260,323,65,0.7873282834130877,0.33845618536353106,0.44887209804955663,False,0.7552317328905251,0.7275526800712626,0.7225152763030153,2.222505256048896,0.9989161863011523,0.047619047619047616,False,,0,,0.26751313008017025,0.26968179941316917,0.3867151438347767,0.6099743365741617,0.6233230419636606,1.0,Control_2022_Aug_A__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,robust_common_drive_deflation
Control_2022_Aug_A,control,volatility_burst,0.985,1min,60,10,loo_market_activity,lag1,5,4260,323,65,0.7873282834130877,0.6732380857427166,0.1140901976703711,False,0.7527261706584004,0.6636163546264121,0.6595478225938172,2.9133677990879767,0.9423549189415139,0.047619047619047616,False,,0,,0.03688215304813151,0.04600970962709803,0.10772666091370203,0.19683278758061715,0.2476142818630135,1.0,Control_2022_Aug_A__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,robust_common_drive_deflation
Control_2022_Aug_A,control,volume_burst,0.985,1min,60,10,btc_eth_reference,contemporaneous,5,4260,323,65,0.889703643961801,0.7095277398581489,0.18017590410365214,False,0.8545828093920146,0.783800307738864,0.783800307738864,2.1884754180166817,0.9971474382582968,0.047619047619047616,False,,0,,0.059555730953790874,0.06366800288208514,0.18044570256308762,0.24580896215715384,0.2647868055080583,1.0,Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__btc_eth_reference__contemporaneous,robust_common_drive_deflation
