design_id,window,window_kind,event_type,drive_mode,drive_timing,bin,q,K,T_full,rho_naive,rho_drive,delta_rho,delta_boot_p025,delta_boot_p05,delta_boot_p50,delta_boot_p95,delta_boot_p975,delta_boot_pos_share,shift_null_p,shift_null_floor,shift_null_delta_mean,shift_null_delta_p95,rank1_share,rank1_boot_ci_lo,rank1_boot_ci_hi,rank1_gaussian_null_p95,rank1_gaussian_null_p,rank1_exceeds_gaussian_p95
FTX_collapse__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,FTX_collapse,shock,volume_burst,loo_market_activity,contemporaneous,1min,0.985,5,4320,0.8840974175050056,0.7708260787692112,0.11327133873579442,0.02254186850929276,0.03130142934764054,0.14015919951386008,0.2848912741535768,0.31831124091180946,0.998,0.001996007984031936,0.001996007984031936,0.0009946309900189941,0.007474266428715234,0.8268926499480338,0.6165905482278574,0.9745445514055978,0.704764424645789,0.0011997600479904018,True
FTX_collapse__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,FTX_collapse,shock,volume_burst,loo_market_activity,lag1,1min,0.985,5,4320,0.8840974175050056,0.7697255840442284,0.11437183346077717,0.01747234858299809,0.027578965884742807,0.1372972640970505,0.26666764336600546,0.2850739455938594,0.998,0.001996007984031936,0.001996007984031936,0.0012173682726070592,0.008529634533759987,0.8350741151578995,0.6663412987227706,0.9711871567967069,0.704764424645789,0.0007998400319936012,True
FTX_collapse__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,FTX_collapse,shock,volatility_burst,loo_market_activity,contemporaneous,1min,0.985,5,4320,0.833253526168188,0.6647974070772329,0.16845611909095515,0.044790242893816425,0.06398237000686322,0.2172171489719832,0.4076198994130533,0.4488247104863336,0.998,0.001996007984031936,0.001996007984031936,0.002382717585970089,0.011231665900192938,0.691071694023734,0.6140890011300405,0.9360127373272237,0.704764424645789,0.0637872425514897,False
FTX_collapse__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,FTX_collapse,shock,volatility_burst,loo_market_activity,lag1,1min,0.985,5,4320,0.833253526168188,0.7153077127035393,0.11794581346464872,0.019893294145306106,0.030670175711159785,0.15568916388979925,0.27797545779617966,0.2914655430098859,0.998,0.001996007984031936,0.001996007984031936,0.002116732610643889,0.009914182015057098,0.7608262924032334,0.569896810385478,0.9289199769595036,0.704764424645789,0.012397520495900819,True
FTX_collapse__volume_burst__q0.985__1min__L60__HL10__btc_eth_reference__contemporaneous,FTX_collapse,shock,volume_burst,btc_eth_reference,contemporaneous,1min,0.985,5,4320,0.8840974175050056,0.7695259173671625,0.11457150013784312,0.022513993334707837,0.027220066558436555,0.12152182997267913,0.23759439793334228,0.2567898622891113,0.998,0.001996007984031936,0.001996007984031936,0.001171902173766893,0.007133370989621541,0.766624502739373,0.6366730670755736,0.9624136553122644,0.704764424645789,0.010197960407918417,True
Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,Control_2022_Aug_A,control,volume_burst,loo_market_activity,contemporaneous,1min,0.985,5,4320,0.889703643961801,0.6752694441511915,0.21443419981060952,0.10776905003270223,0.1386830127088801,0.24047019029584588,0.3590409733555507,0.3904488068963192,1.0,0.001996007984031936,0.001996007984031936,0.000503359227297,0.004137037207369524,0.8698141838376038,0.637947194046433,0.9861681067860526,0.704764424645789,0.0003999200159968006,True
Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,Control_2022_Aug_A,control,volume_burst,loo_market_activity,lag1,1min,0.985,5,4320,0.889703643961801,0.7525472264779354,0.13715641748386564,0.08049778822215216,0.09175273804605102,0.17328291809291596,0.2762742596626886,0.29932540412076103,1.0,0.001996007984031936,0.001996007984031936,0.0003474150884660987,0.003463698107061619,0.8864997353452957,0.6175929731303371,0.9844698792599325,0.704764424645789,0.0003999200159968006,True
Control_2022_Aug_A__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__contemporaneous,Control_2022_Aug_A,control,volatility_burst,loo_market_activity,contemporaneous,1min,0.985,5,4320,0.7873282834130877,0.33845618536353106,0.44887209804955663,0.20931229410700308,0.2271232674960948,0.4016632199117538,0.5735787139014498,0.6169785414205086,1.0,0.001996007984031936,0.001996007984031936,0.0007140018642151129,0.004373324315047983,0.7552317328905251,0.5547684438811556,0.9601464886560913,0.704764424645789,0.014597080583883223,True
Control_2022_Aug_A__volatility_burst__q0.985__1min__L60__HL10__loo_market_activity__lag1,Control_2022_Aug_A,control,volatility_burst,loo_market_activity,lag1,1min,0.985,5,4320,0.7873282834130877,0.6732380857427166,0.1140901976703711,0.05420780478859033,0.06013545493604942,0.14286424501808848,0.24739648015967622,0.26750710353921536,1.0,0.001996007984031936,0.001996007984031936,0.000665226381648168,0.004463909527699866,0.7527261706584004,0.546401347900725,0.9689493383000726,0.704764424645789,0.014997000599880024,True
Control_2022_Aug_A__volume_burst__q0.985__1min__L60__HL10__btc_eth_reference__contemporaneous,Control_2022_Aug_A,control,volume_burst,btc_eth_reference,contemporaneous,1min,0.985,5,4320,0.889703643961801,0.7095277398581489,0.18017590410365214,0.1051819245352538,0.12607676438132476,0.20964384038578665,0.2948462422816189,0.3167512126453392,1.0,0.001996007984031936,0.001996007984031936,0.0006099545328158731,0.0037604641325344927,0.8545828093920146,0.5851293180922496,0.968526310417399,0.704764424645789,0.0003999200159968006,True
