window,q,K,spearman_out,spearman_in,kendall_out,top_emitter_naive,top_emitter_drive,top_changes,n_rank_swaps
Terra_Luna,0.95,15,0.9357142857142854,0.8357142857142855,0.8285714285714286,LINKUSDT,LINKUSDT,False,7
Terra_Luna,0.95,20,0.9172932330827066,0.78796992481203,0.7999999999999999,LINKUSDT,LINKUSDT,False,9
Terra_Luna,0.95,25,0.9584615384615384,0.8492307692307692,0.8666666666666665,LINKUSDT,LINKUSDT,False,16
Terra_Luna,0.95,30,0.9639599555061179,0.8705228031145716,0.8620689655172414,LINKUSDT,TRXUSDT,True,21
Terra_Luna,0.97,15,0.9785714285714284,0.932142857142857,0.9047619047619049,LINKUSDT,TRXUSDT,True,9
Terra_Luna,0.97,20,0.9609022556390976,0.8902255639097743,0.8526315789473685,LINKUSDT,TRXUSDT,True,15
Terra_Luna,0.97,25,0.953076923076923,0.9153846153846154,0.8466666666666665,LINKUSDT,TRXUSDT,True,18
Terra_Luna,0.97,30,0.9768631813125697,0.9225806451612902,0.8942528735632185,TRXUSDT,TRXUSDT,False,21
Terra_Luna,0.985,15,0.982142857142857,0.9714285714285713,0.9238095238095239,TRXUSDT,TRXUSDT,False,4
Terra_Luna,0.985,20,0.956390977443609,0.9533834586466164,0.8526315789473685,TRXUSDT,TRXUSDT,False,11
Terra_Luna,0.985,25,0.9607692307692307,0.9561538461538461,0.8466666666666665,TRXUSDT,TRXUSDT,False,18
Terra_Luna,0.985,30,0.9870967741935484,0.9323692992213571,0.9264367816091954,TRXUSDT,TRXUSDT,False,22
FTX_collapse,0.95,15,0.9285714285714284,0.6357142857142856,0.7714285714285715,ETHUSDT,LINKUSDT,True,10
FTX_collapse,0.95,20,0.9548872180451128,0.5984962406015037,0.8315789473684211,ALGOUSDT,ALGOUSDT,False,18
FTX_collapse,0.95,25,0.9292307692307692,0.6399999999999999,0.7999999999999998,ALGOUSDT,ALGOUSDT,False,20
FTX_collapse,0.95,30,0.8949944382647386,0.6912124582869855,0.7471264367816092,ALGOUSDT,ALGOUSDT,False,25
FTX_collapse,0.97,15,0.95,0.6714285714285713,0.8666666666666667,LINKUSDT,LINKUSDT,False,7
FTX_collapse,0.97,20,0.932330827067669,0.706766917293233,0.8315789473684211,ALGOUSDT,ALGOUSDT,False,10
FTX_collapse,0.97,25,0.9584615384615384,0.733076923076923,0.8533333333333332,ALGOUSDT,ALGOUSDT,False,17
FTX_collapse,0.97,30,0.9150166852057842,0.7846496106785317,0.7839080459770115,ALGOUSDT,ALGOUSDT,False,25
FTX_collapse,0.985,15,0.9928571428571428,0.8178571428571428,0.961904761904762,DOGEUSDT,DOGEUSDT,False,4
FTX_collapse,0.985,20,0.9909774436090225,0.7819548872180451,0.9473684210526316,ALGOUSDT,ALGOUSDT,False,9
FTX_collapse,0.985,25,0.9930769230769231,0.8315384615384616,0.9466666666666665,ALGOUSDT,ALGOUSDT,False,15
FTX_collapse,0.985,30,0.9915461624026695,0.8936596218020022,0.9448275862068967,ALGOUSDT,ALGOUSDT,False,16
Banking_crypto,0.95,15,0.9035714285714285,0.5428571428571428,0.7714285714285715,MATICUSDT,MATICUSDT,False,9
Banking_crypto,0.95,20,0.8225563909774435,0.3804511278195489,0.6421052631578947,BCHUSDT,XLMUSDT,True,14
Banking_crypto,0.95,25,0.8761538461538461,0.5830769230769232,0.7333333333333332,ICPUSDT,XLMUSDT,True,19
Banking_crypto,0.95,30,0.7770856507230256,0.7268075639599554,0.6459770114942529,ICPUSDT,XLMUSDT,True,24
Banking_crypto,0.97,15,0.825,0.6357142857142856,0.6571428571428571,LINKUSDT,XRPUSDT,True,9
Banking_crypto,0.97,20,0.8390977443609022,0.49323308270676686,0.7052631578947369,BCHUSDT,XLMUSDT,True,17
Banking_crypto,0.97,25,0.9061538461538461,0.6799999999999999,0.7733333333333332,ICPUSDT,XLMUSDT,True,19
Banking_crypto,0.97,30,0.832258064516129,0.7325917686318131,0.6965517241379311,ICPUSDT,XLMUSDT,True,24
Banking_crypto,0.985,15,0.8678571428571429,0.6857142857142856,0.7333333333333334,LINKUSDT,LINKUSDT,False,8
Banking_crypto,0.985,20,0.863157894736842,0.7609022556390977,0.7052631578947369,BCHUSDT,BCHUSDT,False,19
Banking_crypto,0.985,25,0.9115384615384616,0.7669230769230769,0.7533333333333332,BCHUSDT,BCHUSDT,False,19
Banking_crypto,0.985,30,0.9328142380422692,0.7196885428253615,0.7931034482758622,BCHUSDT,BCHUSDT,False,22
Control_2022_Aug_A,0.95,15,0.914285714285714,0.8964285714285712,0.7904761904761906,ATOMUSDT,BNBUSDT,True,14
Control_2022_Aug_A,0.95,20,0.806015037593985,0.8706766917293233,0.6736842105263158,FILUSDT,FILUSDT,False,14
Control_2022_Aug_A,0.95,25,0.8553846153846153,0.8630769230769231,0.6933333333333331,HBARUSDT,HBARUSDT,False,18
Control_2022_Aug_A,0.95,30,0.9243604004449388,0.8442714126807563,0.8068965517241379,HBARUSDT,ZILUSDT,True,25
Control_2022_Aug_A,0.97,15,0.8857142857142855,0.95,0.7714285714285715,ATOMUSDT,ATOMUSDT,False,10
Control_2022_Aug_A,0.97,20,0.9097744360902256,0.9067669172932331,0.7473684210526316,ATOMUSDT,ATOMUSDT,False,16
Control_2022_Aug_A,0.97,25,0.9269230769230768,0.93,0.7933333333333331,HBARUSDT,ATOMUSDT,True,19
Control_2022_Aug_A,0.97,30,0.9394883203559511,0.9434927697441602,0.8298850574712644,ZILUSDT,ZILUSDT,False,22
Control_2022_Aug_A,0.985,15,0.9214285714285713,0.9571428571428571,0.8095238095238096,LINKUSDT,LINKUSDT,False,11
Control_2022_Aug_A,0.985,20,0.9443609022556391,0.9533834586466164,0.8736842105263158,FILUSDT,FILUSDT,False,11
Control_2022_Aug_A,0.985,25,0.9723076923076923,0.9199999999999999,0.8933333333333332,ICPUSDT,FILUSDT,True,12
Control_2022_Aug_A,0.985,30,0.9706340378197997,0.957285873192436,0.871264367816092,ICPUSDT,FILUSDT,True,23
Control_2022_Oct,0.95,15,0.7535714285714286,0.7392857142857142,0.6190476190476191,LINKUSDT,LINKUSDT,False,12
Control_2022_Oct,0.95,20,0.6917293233082705,0.8030075187969924,0.5263157894736842,LINKUSDT,LINKUSDT,False,16
Control_2022_Oct,0.95,25,0.7769230769230768,0.733076923076923,0.6399999999999998,LINKUSDT,LINKUSDT,False,21
Control_2022_Oct,0.95,30,0.850500556173526,0.8015572858731924,0.7287356321839081,LINKUSDT,LINKUSDT,False,23
Control_2022_Oct,0.97,15,0.8142857142857142,0.6214285714285712,0.6380952380952382,LINKUSDT,LINKUSDT,False,10
Control_2022_Oct,0.97,20,0.9082706766917292,0.7999999999999999,0.7789473684210527,LINKUSDT,LINKUSDT,False,17
Control_2022_Oct,0.97,25,0.913076923076923,0.7823076923076924,0.7933333333333331,LINKUSDT,LINKUSDT,False,21
Control_2022_Oct,0.97,30,0.9141268075639599,0.7859844271412681,0.7885057471264368,LINKUSDT,LINKUSDT,False,25
Control_2022_Oct,0.985,15,0.9285714285714284,0.657142857142857,0.8095238095238096,MATICUSDT,LINKUSDT,True,10
Control_2022_Oct,0.985,20,0.9368421052631578,0.7383458646616541,0.8210526315789474,XLMUSDT,XLMUSDT,False,15
Control_2022_Oct,0.985,25,0.9576923076923078,0.7661538461538462,0.8599999999999999,XLMUSDT,XLMUSDT,False,20
Control_2022_Oct,0.985,30,0.9675194660734149,0.8211345939933259,0.8666666666666667,MATICUSDT,MATICUSDT,False,20
Control_2023_Feb,0.95,15,0.9571428571428571,0.5928571428571427,0.8666666666666667,ETHUSDT,ETHUSDT,False,10
Control_2023_Feb,0.95,20,0.9112781954887217,0.6105263157894737,0.768421052631579,ETHUSDT,ETHUSDT,False,15
Control_2023_Feb,0.95,25,0.9415384615384615,0.6792307692307692,0.8199999999999998,ETHUSDT,ETHUSDT,False,19
Control_2023_Feb,0.95,30,0.9132369299221357,0.6938820912124583,0.7885057471264368,ETHUSDT,DOGEUSDT,True,26
Control_2023_Feb,0.97,15,0.9785714285714284,0.6178571428571428,0.9047619047619049,ETHUSDT,AVAXUSDT,True,6
Control_2023_Feb,0.97,20,0.9714285714285714,0.7428571428571428,0.8947368421052632,ETHUSDT,ETHUSDT,False,10
Control_2023_Feb,0.97,25,0.9723076923076923,0.7953846153846152,0.8933333333333332,ETHUSDT,ETHUSDT,False,16
Control_2023_Feb,0.97,30,0.9697441601779755,0.8611790878754171,0.8804597701149426,ETHUSDT,ETHUSDT,False,21
Control_2023_Feb,0.985,15,0.8785714285714284,0.6214285714285712,0.7333333333333334,BTCUSDT,BTCUSDT,False,13
Control_2023_Feb,0.985,20,0.9203007518796992,0.7022556390977444,0.8210526315789474,BTCUSDT,BTCUSDT,False,15
Control_2023_Feb,0.985,25,0.9253846153846155,0.6753846153846154,0.7999999999999998,BTCUSDT,BTCUSDT,False,21
Control_2023_Feb,0.985,30,0.9127919911012237,0.7432703003337041,0.8068965517241379,BTCUSDT,BTCUSDT,False,24
