window,q,K,swallow_all,ncols,sep_med,sep_max,passes
Terra_Luna,0.95,5,0,5,0.7105743775020149,0.7796313836913562,0
Terra_Luna,0.95,10,3,10,0.7009238511857054,1.34958961149825,2
Terra_Luna,0.95,15,7,15,0.8299489848839912,4.921033498230531,3
Terra_Luna,0.95,20,8,20,0.7881910736742375,4.147412046372006,4
Terra_Luna,0.95,25,11,25,0.7764213458995299,3.774512447927457,3
Terra_Luna,0.95,30,15,30,0.7359226405337298,3.338581704001734,3
Terra_Luna,0.97,5,1,5,0.627878706176908,1.1408817100817268,1
Terra_Luna,0.97,10,5,10,0.530204561456805,1.111445379804176,2
Terra_Luna,0.97,15,7,15,0.8110158499235742,6.223088756141358,1
Terra_Luna,0.97,20,11,20,0.6663074679600239,5.756931767725378,2
Terra_Luna,0.97,25,13,25,0.7376025131260853,5.348590797899094,3
Terra_Luna,0.97,30,19,30,0.7448539880786034,4.539951150549658,3
Terra_Luna,0.985,5,4,5,0.7834920640281219,0.7834920640281219,0
Terra_Luna,0.985,10,7,10,0.9437906838272766,3.0694546995352687,1
Terra_Luna,0.985,15,12,15,1.4198023627848926,2.6199968942461465,2
Terra_Luna,0.985,20,16,20,1.5132667895132785,2.602967187826743,3
Terra_Luna,0.985,25,21,25,1.445112240256297,2.6193451517014794,4
Terra_Luna,0.985,30,25,30,1.4696026502203703,2.534556948208801,4
FTX_collapse,0.95,5,1,5,1.1136220895622881,1.652398699443538,2
FTX_collapse,0.95,10,3,10,0.7374646278944708,1.4283432109028085,2
FTX_collapse,0.95,15,7,15,0.7048221103595875,7.560985060580359,3
FTX_collapse,0.95,20,10,20,0.9760511181269783,6.5259585992345155,5
FTX_collapse,0.95,25,16,25,1.061253985134017,6.0972311821796366,6
FTX_collapse,0.95,30,22,30,0.9588459862302381,5.884023118741766,4
FTX_collapse,0.97,5,0,5,0.9105563638115457,2.438105304718929,2
FTX_collapse,0.97,10,4,10,0.7281474412117979,1.7699072141799004,2
FTX_collapse,0.97,15,9,15,0.7976551629153805,7.955854863897001,2
FTX_collapse,0.97,20,13,20,0.815219374824344,6.816858700444332,3
FTX_collapse,0.97,25,17,25,0.9208399694863564,6.456221662258209,4
FTX_collapse,0.97,30,24,30,0.8575530695738567,6.577958136450101,2
FTX_collapse,0.985,5,2,5,0.6973136583499153,3.796710497583152,1
FTX_collapse,0.985,10,6,10,1.6210139270035369,3.3109755270501458,2
FTX_collapse,0.985,15,11,15,1.9774716664671703,10.317983806429789,2
FTX_collapse,0.985,20,14,20,1.436003055646853,9.212403272392987,3
FTX_collapse,0.985,25,19,25,0.7477078818401253,8.875377652202578,2
FTX_collapse,0.985,30,23,30,0.8220688641545479,8.890265364082612,3
Banking_crypto,0.95,5,0,5,0.6507957043624738,2.8393125247614415,1
Banking_crypto,0.95,10,2,10,0.5503108247575619,2.6102790955761317,1
Banking_crypto,0.95,15,7,15,0.7160228251978811,2.4277080889703533,2
Banking_crypto,0.95,20,12,20,0.6645622001360532,2.2194372649531124,2
Banking_crypto,0.95,25,20,25,0.5950219945355102,1.9021636707664566,2
Banking_crypto,0.95,30,24,30,0.6296712144296513,1.9311360920019378,2
Banking_crypto,0.97,5,1,5,0.6396436227796171,2.3207864793948656,1
Banking_crypto,0.97,10,7,10,0.9480057933990367,2.449899481040982,1
Banking_crypto,0.97,15,10,15,1.1246871453832377,2.1097396046108847,3
Banking_crypto,0.97,20,14,20,1.0902340365750496,1.9481313984667457,3
Banking_crypto,0.97,25,21,25,1.1229734907697275,1.679682567756708,2
Banking_crypto,0.97,30,26,30,1.1947262692108669,1.602434646265483,2
Banking_crypto,0.985,5,3,5,2.1086709519890396,3.654390805145643,1
Banking_crypto,0.985,10,9,10,3.2057266867995047,3.2057266867995047,1
Banking_crypto,0.985,15,13,15,2.6697443690639737,2.9450523237951685,2
Banking_crypto,0.985,20,17,20,1.9798325144620095,2.648425132926828,2
Banking_crypto,0.985,25,23,25,1.9267202745961753,2.1791947650885066,2
Banking_crypto,0.985,30,28,30,1.8519560925529923,2.0578981767405304,2
Control_2022_Aug_A,0.95,5,3,5,0.5763498051202602,0.638420341474883,0
Control_2022_Aug_A,0.95,10,6,10,0.7609811641353057,2.27220130321217,1
Control_2022_Aug_A,0.95,15,8,15,0.7662750206921713,1.5320328983527023,1
Control_2022_Aug_A,0.95,20,8,20,0.8108460251294255,1.8790803513320533,3
Control_2022_Aug_A,0.95,25,11,25,0.6729697405520589,1.6780310344083014,3
Control_2022_Aug_A,0.95,30,19,30,0.7312381346206335,1.6404406269951672,3
Control_2022_Aug_A,0.97,5,4,5,0.8150458434682382,0.8150458434682382,0
Control_2022_Aug_A,0.97,10,7,10,0.6521737046857915,2.102179136176588,1
Control_2022_Aug_A,0.97,15,9,15,0.685377333012295,1.5458061241927055,1
Control_2022_Aug_A,0.97,20,11,20,0.6588865548233055,2.082601902949818,3
Control_2022_Aug_A,0.97,25,16,25,0.6147327362127465,1.8454676643207968,2
Control_2022_Aug_A,0.97,30,23,30,0.8762235457654529,1.7360034811920562,2
Control_2022_Aug_A,0.985,5,4,5,0.5262586610960075,0.5262586610960075,0
Control_2022_Aug_A,0.985,10,9,10,1.3297297634279441,1.3297297634279441,1
Control_2022_Aug_A,0.985,15,13,15,0.8279539289522724,1.0453485306205217,1
Control_2022_Aug_A,0.985,20,15,20,1.0148551346550594,2.444207541917742,3
Control_2022_Aug_A,0.985,25,19,25,0.7659378769242626,2.21465119986843,2
Control_2022_Aug_A,0.985,30,23,30,0.7339356227523685,1.9245629844599828,3
Control_2022_Oct,0.95,5,2,5,0.5810459843572904,1.1788976776400033,1
Control_2022_Oct,0.95,10,4,10,0.8051528144933024,1.6849176758106355,2
Control_2022_Oct,0.95,15,6,15,0.8220170534817478,38.75278896123184,3
Control_2022_Oct,0.95,20,9,20,0.5909495962665585,92.30883389998354,3
Control_2022_Oct,0.95,25,11,25,0.807299001502584,1175.6759155266034,5
Control_2022_Oct,0.95,30,16,30,0.7496749999712895,44.35863129966403,5
Control_2022_Oct,0.97,5,2,5,0.5861559544720271,1.1779510670357916,1
Control_2022_Oct,0.97,10,4,10,0.7204214103114848,1.9615984573587313,1
Control_2022_Oct,0.97,15,7,15,0.7751634950520299,52.73093164889793,2
Control_2022_Oct,0.97,20,10,20,0.7389722586864134,32.09482814020968,3
Control_2022_Oct,0.97,25,12,25,0.9797484565195874,23.072220260291676,6
Control_2022_Oct,0.97,30,17,30,1.0730961277717688,57.08796251628539,7
Control_2022_Oct,0.985,5,4,5,0.3911577562666541,0.3911577562666541,0
Control_2022_Oct,0.985,10,6,10,0.6037772161389964,2.994521528673568,1
Control_2022_Oct,0.985,15,9,15,0.6357141034409224,50.87314000922233,2
Control_2022_Oct,0.985,20,12,20,0.8463245502773481,17.444260140468035,3
Control_2022_Oct,0.985,25,15,25,1.590387788277733,11.193599970873207,6
Control_2022_Oct,0.985,30,18,30,1.1854158622023139,12.167807495115504,7
Control_2023_Feb,0.95,5,3,5,0.8779052420270145,0.929797463449157,0
Control_2023_Feb,0.95,10,7,10,0.8564503944024284,1.6880090469527382,1
Control_2023_Feb,0.95,15,9,15,1.1787622922242744,1.995910254878459,3
Control_2023_Feb,0.95,20,11,20,1.396544295241012,2.326332424139524,6
Control_2023_Feb,0.95,25,13,25,1.3262228209118478,264.1452946497977,7
Control_2023_Feb,0.95,30,14,30,1.1051733493996223,276.83622050612917,9
Control_2023_Feb,0.97,5,4,5,0.8429401316181669,0.8429401316181669,0
Control_2023_Feb,0.97,10,6,10,0.7140618885215977,2.0014309247466455,1
Control_2023_Feb,0.97,15,7,15,0.7722105415982083,1.8579892092400236,3
Control_2023_Feb,0.97,20,10,20,1.1313475620227487,3.7094582064287813,6
Control_2023_Feb,0.97,25,14,25,1.4965420186169611,101.83022008882722,6
Control_2023_Feb,0.97,30,17,30,1.1304334923665156,5.985094468291442,7
Control_2023_Feb,0.985,5,4,5,0.27069094881797073,0.27069094881797073,0
Control_2023_Feb,0.985,10,7,10,0.6800641936232182,1.5511501348169983,1
Control_2023_Feb,0.985,15,9,15,1.31124679193027,2.939563834029203,3
Control_2023_Feb,0.985,20,13,20,1.5568637034918809,37.527328519326225,5
Control_2023_Feb,0.985,25,17,25,2.5449841262554083,39.63786965944005,6
Control_2023_Feb,0.985,30,20,30,1.8484010529267514,15.548667274879053,7
